POSCAR-mp-20998.vasp,-0.474587644
POSCAR-mp-1175256.vasp,-2.043197048
POSCAR-mp-850956.vasp,-2.062713023
POSCAR-mp-1176207.vasp,-1.784772852
POSCAR-mp-1175344.vasp,-2.122575897
POSCAR-mp-12829.vasp,-3.463849242
POSCAR-mp-1177974.vasp,-3.30101544
POSCAR-mp-759153.vasp,-1.290357116
POSCAR-mp-863431.vasp,-2.724999642
POSCAR-mp-18860.vasp,-2.766671983
POSCAR-mp-29463.vasp,-0.994493267
POSCAR-mp-764815.vasp,-2.255300643
POSCAR-mp-758663.vasp,-1.547071954
POSCAR-mp-1173950.vasp,-1.977394904
POSCAR-mp-1222516.vasp,-0.447346682
POSCAR-mp-760650.vasp,-2.550843944
POSCAR-mp-26977.vasp,-2.622753198
POSCAR-mp-849749.vasp,-2.59041886
POSCAR-mp-777465.vasp,-2.499011361
POSCAR-mp-697726.vasp,-2.497558788
POSCAR-mp-1175757.vasp,-1.842049906
POSCAR-mp-540199.vasp,-1.955120581
POSCAR-mp-560463.vasp,-2.496000362
POSCAR-mp-1175422.vasp,-1.829409343
POSCAR-mp-1235068.vasp,-2.435060313
POSCAR-mp-771890.vasp,-1.898610772
POSCAR-mp-772668.vasp,-2.431188131
POSCAR-mp-861955.vasp,-0.426732411
POSCAR-mp-1173984.vasp,-1.960409153
POSCAR-mp-780191.vasp,-2.460449801
POSCAR-mp-756489.vasp,-1.142251119
POSCAR-mp-781020.vasp,-1.905545457
POSCAR-mp-961703.vasp,0.223713283
POSCAR-mp-18782.vasp,-1.925350981
POSCAR-mp-761207.vasp,-2.269457634
POSCAR-mp-753791.vasp,-2.785151179
POSCAR-mp-849345.vasp,-2.763353087
POSCAR-mp-1177646.vasp,-2.268469126
POSCAR-mp-1175801.vasp,-1.825485779
POSCAR-mp-1176577.vasp,-2.654480545
POSCAR-mp-777916.vasp,-1.621695701
POSCAR-mp-540462.vasp,-2.531259882
POSCAR-mp-973970.vasp,-0.028956239
POSCAR-mp-776269.vasp,-1.972387911
POSCAR-mp-759274.vasp,-2.353561643
